epoch     	mean_ops    	median_ops  	unique_ids  	modal_id  	representative_tape (modal_count)
1570      	15.5494     	12.0        	25802       	4874788   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (33641)
1580      	15.5447     	12.0        	25491       	4874788   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (34726)
1590      	15.5046     	12.0        	25195       	4874788   	|<<<<<<<< <<<<<<<<<<<< < << <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<| (35330)
1600      	15.5021     	12.0        	24913       	4874788   	|                                                                | (35317)
1610      	15.4883     	12.0        	24663       	4874788   	|                               }                                | (34558)
1620      	15.4630     	12.0        	24398       	4874788   	|>>>>>> >>  >   > >>>> >>> >>>> >  >>>>> >>>>>  >>  >> >> >>>>>  | (34923)
1630      	15.4510     	12.0        	24137       	4874788   	|                                                                | (35297)
1640      	15.4180     	12.0        	23863       	4874788   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,| (35477)
1650      	15.4064     	12.0        	23624       	4874788   	| -, ,,,,,,,,,,,,,,,,,,,,,,,,,<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (35228)
1660      	15.4414     	12.0        	23320       	4874788   	|                                                                | (34448)
1670      	15.4677     	12.0        	23082       	4874788   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,| (35228)
1680      	15.4592     	12.0        	22846       	4874788   	|>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>| (34771)
1690      	15.4646     	12.0        	22569       	4874788   	|<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<< <<<<<<<| (34365)
1700      	15.5284     	12.0        	22329       	4874788   	|                                                                | (33177)
1710      	15.5503     	12.0        	22069       	4874788   	|                                                                | (33079)
1720      	15.5402     	12.0        	21822       	4874788   	|                                                                | (33177)
1730      	15.5442     	12.0        	21628       	4874788   	|                                                                | (32423)
1740      	15.5781     	12.0        	21415       	4874788   	|                                                                | (32801)
1750      	15.5606     	12.0        	21176       	4874788   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  ,,.-,,,,,,,,,,,,,,,,,,,,,,,,,,| (32926)
1760      	15.5829     	12.0        	20947       	4874788   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (33645)
1770      	15.5286     	12.0        	20738       	4874788   	|                                                                | (32541)
1780      	15.5425     	12.0        	20531       	4874788   	|                                                                | (31154)
1790      	15.5283     	12.0        	20332       	4874788   	|                                                                | (31318)
1800      	15.5409     	12.0        	20111       	4874788   	|                                                                | (31130)
1810      	15.5391     	12.0        	19883       	4874788   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (30741)
1820      	15.5349     	12.0        	19703       	4874788   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (31259)
1830      	15.5457     	12.0        	19504       	4874788   	|,, ,, ,, ,, ,,                                                  | (30878)
1840      	15.5510     	12.0        	19342       	4874788   	|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (31592)
1850      	15.5513     	12.0        	19166       	4874788   	|,,,,,,,,,,,,,,,,,,+,,,,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,| (32376)
